,,,,,,,,,,,,,,,,,,,,,
Standard & Poors 500 Index,Last: 4677.0298,Change:  -19.0202,,,,,,,,,,,,,,,,,,,
"Date: January 9, 2022, 3:11 AM EST",Bid: 4619.75,Ask: 4727.2202,Size: 1*1,Volume: 0,,,,,,,,,,,,,,,,,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Jan 10 2022,SPXW220110C01200000,0,0,3469.7,3487.7,0,6.9103,0.9982,0,0,1200.00,SPXW220110P01200000,0,0,0,0.05,0,4.9678,-0.0001,0,0
Mon Jan 10 2022,SPXW220110C01400000,0,0,3269.7,3287.7,0,6.1509,0.998,0,0,1400.00,SPXW220110P01400000,0,0,0,0.05,0,4.438,-0.0001,0,0
Mon Jan 10 2022,SPXW220110C01600000,0,0,3069.7,3087.7,0,5.4965,0.9977,0,0,1600.00,SPXW220110P01600000,0,0,0,0.05,0,3.9385,-0.0001,0,0
Mon Jan 10 2022,SPXW220110C01800000,0,0,2869.7,2887.7,0,4.9214,0.9974,0,0,1800.00,SPXW220110P01800000,0,0,0,0.05,0,3.5319,-0.0001,0,0
Mon Jan 10 2022,SPXW220110C01900000,0,0,2769.7,2787.2,0,4.5656,0.9977,0,0,1900.00,SPXW220110P01900000,0,0,0,0.05,0,3.3413,-0.0001,0,0
Mon Jan 10 2022,SPXW220110C02000000,0,0,2669.7,2687.7,0,4.4061,0.9971,0,0,2000.00,SPXW220110P02000000,0.05,0,0,0.05,0,3.1602,-0.0001,0,1
Mon Jan 10 2022,SPXW220110C02100000,0,0,2569.7,2587.7,0,4.1694,0.997,0,0,2100.00,SPXW220110P02100000,0.05,0,0,0.05,0,2.9696,-0.0001,0,15
Mon Jan 10 2022,SPXW220110C02200000,0,0,2469.7,2487.2,0,3.8626,0.9972,0,0,2200.00,SPXW220110P02200000,0.1,0,0,0.05,0,2.8287,-0.0001,0,10
Mon Jan 10 2022,SPXW220110C02300000,0,0,2369.7,2387.7,0,3.7246,0.9966,0,0,2300.00,SPXW220110P02300000,0.09,0,0,0.05,0,2.65,-0.0001,0,11
Mon Jan 10 2022,SPXW220110C02400000,0,0,2269.7,2287.7,0,3.5164,0.9964,0,0,2400.00,SPXW220110P02400000,0.14,0,0,0.05,0,2.5034,-0.0001,0,5
Mon Jan 10 2022,SPXW220110C02500000,0,0,2169.7,2187.7,0,3.3167,0.9962,0,0,2500.00,SPXW220110P02500000,0.21,0,0,0.05,0,2.3509,-0.0001,0,353
Mon Jan 10 2022,SPXW220110C02600000,0,0,2069.7,2087.7,0,3.1244,0.996,0,0,2600.00,SPXW220110P02600000,0.05,0,0,0.05,0,2.2155,-0.0001,0,32
Mon Jan 10 2022,SPXW220110C02700000,0,0,1969.7,1987.7,0,2.9385,0.9957,0,0,2700.00,SPXW220110P02700000,0.05,0,0,0.05,0,2.077,-0.0001,0,84
Mon Jan 10 2022,SPXW220110C02800000,0,0,1869.7,1887.7,0,2.7599,0.9954,0,0,2800.00,SPXW220110P02800000,0.05,0,0,0.05,0,1.9385,-0.0001,0,53
Mon Jan 10 2022,SPXW220110C02900000,0,0,1769.7,1787.7,0,2.5867,0.9951,0,0,2900.00,SPXW220110P02900000,0.05,0,0,0.05,0,1.8174,-0.0002,0,518
Mon Jan 10 2022,SPXW220110C03000000,0,0,1669.7,1687.7,0,2.4188,0.9948,0,0,3000.00,SPXW220110P03000000,0.05,0,0,0.05,0,1.7062,-0.0002,0,152
